fecha_operacion,intervalo,hora,fecha_hora,codigo,serie,mw
2026-06-18,72,18:00,2026-06-18 18:00:00,COCHABAMBA,Cochabamba,
2026-06-18,73,18:15,2026-06-18 18:15:00,COCHABAMBA,Cochabamba,
2026-06-18,74,18:30,2026-06-18 18:30:00,COCHABAMBA,Cochabamba,
2026-06-18,75,18:45,2026-06-18 18:45:00,COCHABAMBA,Cochabamba,
2026-06-18,76,19:00,2026-06-18 19:00:00,COCHABAMBA,Cochabamba,
2026-06-18,77,19:15,2026-06-18 19:15:00,COCHABAMBA,Cochabamba,
2026-06-18,78,19:30,2026-06-18 19:30:00,COCHABAMBA,Cochabamba,
2026-06-18,79,19:45,2026-06-18 19:45:00,COCHABAMBA,Cochabamba,
2026-06-18,80,20:00,2026-06-18 20:00:00,COCHABAMBA,Cochabamba,
2026-06-18,81,20:15,2026-06-18 20:15:00,COCHABAMBA,Cochabamba,
2026-06-18,82,20:30,2026-06-18 20:30:00,COCHABAMBA,Cochabamba,
2026-06-18,83,20:45,2026-06-18 20:45:00,COCHABAMBA,Cochabamba,
2026-06-18,84,21:00,2026-06-18 21:00:00,COCHABAMBA,Cochabamba,
2026-06-18,85,21:15,2026-06-18 21:15:00,COCHABAMBA,Cochabamba,
2026-06-18,86,21:30,2026-06-18 21:30:00,COCHABAMBA,Cochabamba,
2026-06-18,87,21:45,2026-06-18 21:45:00,COCHABAMBA,Cochabamba,
2026-06-18,88,22:00,2026-06-18 22:00:00,COCHABAMBA,Cochabamba,
2026-06-18,89,22:15,2026-06-18 22:15:00,COCHABAMBA,Cochabamba,
2026-06-18,90,22:30,2026-06-18 22:30:00,COCHABAMBA,Cochabamba,
2026-06-18,91,22:45,2026-06-18 22:45:00,COCHABAMBA,Cochabamba,
2026-06-18,92,23:00,2026-06-18 23:00:00,COCHABAMBA,Cochabamba,
2026-06-18,93,23:15,2026-06-18 23:15:00,COCHABAMBA,Cochabamba,
2026-06-18,94,23:30,2026-06-18 23:30:00,COCHABAMBA,Cochabamba,
2026-06-18,95,23:45,2026-06-18 23:45:00,COCHABAMBA,Cochabamba,
2026-06-18,96,24:00,2026-06-19 00:00:00,COCHABAMBA,Cochabamba,
2026-06-18,1,00:15,2026-06-18 00:15:00,POTOSI,Potosí,150.08
2026-06-18,2,00:30,2026-06-18 00:30:00,POTOSI,Potosí,151.44
2026-06-18,3,00:45,2026-06-18 00:45:00,POTOSI,Potosí,151.43
2026-06-18,4,01:00,2026-06-18 01:00:00,POTOSI,Potosí,154.39
2026-06-18,5,01:15,2026-06-18 01:15:00,POTOSI,Potosí,152.39
2026-06-18,6,01:30,2026-06-18 01:30:00,POTOSI,Potosí,150.81
2026-06-18,7,01:45,2026-06-18 01:45:00,POTOSI,Potosí,150.52
2026-06-18,8,02:00,2026-06-18 02:00:00,POTOSI,Potosí,150.92
2026-06-18,9,02:15,2026-06-18 02:15:00,POTOSI,Potosí,150.68
2026-06-18,10,02:30,2026-06-18 02:30:00,POTOSI,Potosí,150.62
2026-06-18,11,02:45,2026-06-18 02:45:00,POTOSI,Potosí,150.18
2026-06-18,12,03:00,2026-06-18 03:00:00,POTOSI,Potosí,150.83
2026-06-18,13,03:15,2026-06-18 03:15:00,POTOSI,Potosí,151.12
2026-06-18,14,03:30,2026-06-18 03:30:00,POTOSI,Potosí,150.55
2026-06-18,15,03:45,2026-06-18 03:45:00,POTOSI,Potosí,150.32
2026-06-18,16,04:00,2026-06-18 04:00:00,POTOSI,Potosí,148.25
2026-06-18,17,04:15,2026-06-18 04:15:00,POTOSI,Potosí,149.23
2026-06-18,18,04:30,2026-06-18 04:30:00,POTOSI,Potosí,148.92
2026-06-18,19,04:45,2026-06-18 04:45:00,POTOSI,Potosí,149.77
2026-06-18,20,05:00,2026-06-18 05:00:00,POTOSI,Potosí,150.9
2026-06-18,21,05:15,2026-06-18 05:15:00,POTOSI,Potosí,152.37
2026-06-18,22,05:30,2026-06-18 05:30:00,POTOSI,Potosí,154.28
2026-06-18,23,05:45,2026-06-18 05:45:00,POTOSI,Potosí,153.86
2026-06-18,24,06:00,2026-06-18 06:00:00,POTOSI,Potosí,153.19
2026-06-18,25,06:15,2026-06-18 06:15:00,POTOSI,Potosí,153.05
2026-06-18,26,06:30,2026-06-18 06:30:00,POTOSI,Potosí,151.57
2026-06-18,27,06:45,2026-06-18 06:45:00,POTOSI,Potosí,148.79
2026-06-18,28,07:00,2026-06-18 07:00:00,POTOSI,Potosí,151.42
2026-06-18,29,07:15,2026-06-18 07:15:00,POTOSI,Potosí,151.15
2026-06-18,30,07:30,2026-06-18 07:30:00,POTOSI,Potosí,154.21
2026-06-18,31,07:45,2026-06-18 07:45:00,POTOSI,Potosí,152.06
